event_timestamp,type,peer,details_totalPeers,details_avgScore,details_bannedPeers,details_disconnectedPeers,details_healthyPeers,details_bannedPercent,details_disconnectedPercent,details_needMorePeers,details_willDisconnect,details_disconnectReasons,details_attnetQueries,details_syncnetQueries,details_custodyQueries,details_isStarved,details_starvedSlots,details_headSlotGap,details_currentSlot,details_peerHeadSlot,details_peersToConnect,details_custodyGroups
2026-01-07T20:01:58.650Z,DIAL_CHECK_START,16Uiu2HAkyfJsphmNsi3eS8oameBcqqDFc8xT8ScZegNdhNAM8vfa,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:58.650Z,DIAL_ATTEMPT_START,16Uiu2HAkyfJsphmNsi3eS8oameBcqqDFc8xT8ScZegNdhNAM8vfa,,,,,,,,,,,,,,,,,,,205.0,
2026-01-07T20:01:58.650Z,DISCOVERY_DIAL_DECISION,16Uiu2HAkyfJsphmNsi3eS8oameBcqqDFc8xT8ScZegNdhNAM8vfa,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:58.652Z,DIAL_CHECK_START,16Uiu2HAkyfJsphmNsi3eS8oameBcqqDFc8xT8ScZegNdhNAM8vfa,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:58.652Z,DIAL_ATTEMPT_START,16Uiu2HAkyfJsphmNsi3eS8oameBcqqDFc8xT8ScZegNdhNAM8vfa,,,,,,,,,,,,,,,,,,,204.0,
2026-01-07T20:01:58.652Z,DISCOVERY_DIAL_DECISION,16Uiu2HAkyfJsphmNsi3eS8oameBcqqDFc8xT8ScZegNdhNAM8vfa,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:58.755Z,PEER_CONNECT,16Uiu2HAmPt7ihNAGF3642nEv2nis1q7opMxP8N5P9vCbySn8D4k8,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:58.755Z,PEER_TCP_CONNECTED,16Uiu2HAmPt7ihNAGF3642nEv2nis1q7opMxP8N5P9vCbySn8D4k8,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:58.756Z,PEER_PING_SENT,16Uiu2HAmPt7ihNAGF3642nEv2nis1q7opMxP8N5P9vCbySn8D4k8,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:58.756Z,RPC_OUT_REQUEST,16Uiu2HAmPt7ihNAGF3642nEv2nis1q7opMxP8N5P9vCbySn8D4k8,,,,,,,,,,,,,,,,,,,,
